Item,Description,Quantity,Unit Price($),Total Price($),URL,
XIAO ESP32 S3,Flight Controller ,1,8.82,8.82,https://robocraze.com/products/seeed-studio-xiao-esp32-s3-development-board-supports-wi-fi-bluetooth-5-0?_pos=1&_psq=xiao&_ss=e&_v=1.0,
8520 Coreless Brushed Motor,Motors ,1 set(4Pcs),6.45,6.45,https://roboticsdna.in/product/coreless-motors-720-series-45000-rpm-3-7v/,
55 mm Blade Propeller,Propeller,1set(4Pcs),0.56,0.56,https://roboticsdna.in/product/4pcs-set-55mm-white-propeller-for-h107l-h107c-h107d（aperture-1mm）/,
1N SI2300 MOSFET,To drive motor ,4,0.046,0.19,https://robu.in/product/si2300-hxy-mosfet-20v-6a-350mw-27mω4-5v-500mv-1-n-channel-sot-23-mosfets-rohs/,
1N4148 SMD,Diode,4,0.026,0.10,https://robu.in/product/ac1206fr-0710kl-yageo-res-thick-film-1206-10k-ohm-1-0-25w1-4w-±100ppm-c-pad-smd-t-r-automotive-aec-q200/,
10k ohm SMD,Resister,5,0.0052,0.0262,,
1k ohm SMD,Resister,4,0.0030,0.012,,
150 ohm SMD,Resister,3,0.0011,0.0033,,
0.01uF SMD,Capacitor,4,0.0030,0.012,,
LED 0805  SMD,Led,3,0.029,0.097,,
ME2108A33P Module,Boost converter,1,0.57,0.57,https://www.flyrobo.in/1.5v-1.8v-2.5v-3v-3.3v-3.7v-4.2v-5v-dc-dc-dc-boost-converter-step-up-module,
MPU6050,Gyro and accelerometer,1,1.91,1.91,https://robu.in/product/mpu-6050-gyro-sensor-2-accelerometer/,
1S 300mah battery,Battery,1,1.92,1.92,https://robu.in/product/wly702025-300mah-3-7v-single-cell-rechargeable-lipo-battery/,
RadioMaster XR2 Nano,ELRS recover,1,12.12,12.12,https://rcmumbai.com/products/radiomaster-xr2-nano-2-4ghz-expresslrs-receiver?variant=51157265219865&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&srsltid=AfmBOorjJxUQtDCWYgvOCSd8MDd0VRZpAQZHwYVtLdvj7ix3GP4Ts0W8wNE,
PCB,Pcb,5,4.9,4.9,SeedStudio,
Frame,3d printing,1,6.4,0.9,3D,
,,,Shipment,4.56+ 1.66+0.76+0.54+0.65+0.54+1.66 =10.28,,
,,,Tax(3Dprint & Motors ,,2.52,
,,,Total=,51.38 ~ 51.5,,
